GPU Memory Track | 30-Apr-23-11:05:15 | Total Tensor Used Memory:376.7  Mb Total Allocated Memory:422.0  Mb

+ | 9 * Size:()                   | Memory: 3.4332 M | <class 'torch.Tensor'> | torch.float32
+ | 180 * Size:(128, 128, 16, 16)   | Memory: 2880.0 M | <class 'torch.Tensor'> | torch.float32
+ | 46 * Size:(128, 3, 32, 32)     | Memory: 69.0 M | <class 'torch.Tensor'> | torch.float32
+ | 225 * Size:(128, 64, 32, 32)    | Memory: 7200.0 M | <class 'torch.Tensor'> | torch.float32
+ | 45 * Size:(128, 512)           | Memory: 11.25 M | <class 'torch.Tensor'> | torch.float32
- | 176 * Size:(128, 128, 16, 16)   | Memory: 2816.0 M | <class 'torch.Tensor'> | torch.float32
- | 220 * Size:(128, 64, 32, 32)    | Memory: 7040.0 M | <class 'torch.Tensor'> | torch.float32
- | 44 * Size:(128, 512)           | Memory: 11.0 M | <class 'torch.Tensor'> | torch.float32
- | 45 * Size:(128, 3, 32, 32)     | Memory: 67.5 M | <class 'torch.Tensor'> | torch.float32
- | 44 * Size:(128, 512, 1, 1)     | Memory: 11.0 M | <class 'torch.Tensor'> | torch.float32
- | 132 * Size:(128, 512, 4, 4)     | Memory: 528.0 M | <class 'torch.Tensor'> | torch.float32
- | 176 * Size:(128, 256, 8, 8)     | Memory: 1408.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:12299.5Mb Total Allocated Memory:12312.5Mb

+ | 138 * Size:(128, 512, 4, 4)     | Memory: 552.0 M | <class 'torch.Tensor'> | torch.float32
+ | 46 * Size:(128, 512)           | Memory: 11.5 M | <class 'torch.Tensor'> | torch.float32
+ | 47 * Size:(128, 3, 32, 32)     | Memory: 70.5 M | <class 'torch.Tensor'> | torch.float32
+ | 230 * Size:(128, 64, 32, 32)    | Memory: 7360.0 M | <class 'torch.Tensor'> | torch.float32
+ | 184 * Size:(128, 128, 16, 16)   | Memory: 2944.0 M | <class 'torch.Tensor'> | torch.float32
+ | 46 * Size:(128, 512, 1, 1)     | Memory: 11.5 M | <class 'torch.Tensor'> | torch.float32
+ | 184 * Size:(128, 256, 8, 8)     | Memory: 1472.0 M | <class 'torch.Tensor'> | torch.float32
- | 135 * Size:(128, 512, 4, 4)     | Memory: 540.0 M | <class 'torch.Tensor'> | torch.float32
- | 45 * Size:(128, 512, 1, 1)     | Memory: 11.25 M | <class 'torch.Tensor'> | torch.float32
- | 180 * Size:(128, 256, 8, 8)     | Memory: 1440.0 M | <class 'torch.Tensor'> | torch.float32
- | 180 * Size:(128, 128, 16, 16)   | Memory: 2880.0 M | <class 'torch.Tensor'> | torch.float32
- | 46 * Size:(128, 3, 32, 32)     | Memory: 69.0 M | <class 'torch.Tensor'> | torch.float32
- | 225 * Size:(128, 64, 32, 32)    | Memory: 7200.0 M | <class 'torch.Tensor'> | torch.float32
- | 45 * Size:(128, 512)           | Memory: 11.25 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:12569.5Mb Total Allocated Memory:12582.7Mb

+ | 188 * Size:(128, 256, 8, 8)     | Memory: 1504.0 M | <class 'torch.Tensor'> | torch.float32
+ | 47 * Size:(128, 512, 1, 1)     | Memory: 11.75 M | <class 'torch.Tensor'> | torch.float32
+ | 141 * Size:(128, 512, 4, 4)     | Memory: 564.0 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(128, 3, 32, 32)     | Memory: 72.0 M | <class 'torch.Tensor'> | torch.float32
+ | 47 * Size:(128, 512)           | Memory: 11.75 M | <class 'torch.Tensor'> | torch.float32
+ | 188 * Size:(128, 128, 16, 16)   | Memory: 3008.0 M | <class 'torch.Tensor'> | torch.float32
+ | 235 * Size:(128, 64, 32, 32)    | Memory: 7520.0 M | <class 'torch.Tensor'> | torch.float32
- | 138 * Size:(128, 512, 4, 4)     | Memory: 552.0 M | <class 'torch.Tensor'> | torch.float32
- | 46 * Size:(128, 512)           | Memory: 11.5 M | <class 'torch.Tensor'> | torch.float32
- | 47 * Size:(128, 3, 32, 32)     | Memory: 70.5 M | <class 'torch.Tensor'> | torch.float32
- | 230 * Size:(128, 64, 32, 32)    | Memory: 7360.0 M | <class 'torch.Tensor'> | torch.float32
- | 184 * Size:(128, 128, 16, 16)   | Memory: 2944.0 M | <class 'torch.Tensor'> | torch.float32
- | 46 * Size:(128, 512, 1, 1)     | Memory: 11.5 M | <class 'torch.Tensor'> | torch.float32
- | 184 * Size:(128, 256, 8, 8)     | Memory: 1472.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:12839.5Mb Total Allocated Memory:12853.0Mb

+ | 49 * Size:(128, 3, 32, 32)     | Memory: 73.5 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(128, 512)           | Memory: 12.0 M | <class 'torch.Tensor'> | torch.float32
+ | 192 * Size:(128, 256, 8, 8)     | Memory: 1536.0 M | <class 'torch.Tensor'> | torch.float32
+ | 144 * Size:(128, 512, 4, 4)     | Memory: 576.0 M | <class 'torch.Tensor'> | torch.float32
+ | 240 * Size:(128, 64, 32, 32)    | Memory: 7680.0 M | <class 'torch.Tensor'> | torch.float32
+ | 192 * Size:(128, 128, 16, 16)   | Memory: 3072.0 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(128, 512, 1, 1)     | Memory: 12.0 M | <class 'torch.Tensor'> | torch.float32
- | 188 * Size:(128, 256, 8, 8)     | Memory: 1504.0 M | <class 'torch.Tensor'> | torch.float32
- | 47 * Size:(128, 512, 1, 1)     | Memory: 11.75 M | <class 'torch.Tensor'> | torch.float32
- | 141 * Size:(128, 512, 4, 4)     | Memory: 564.0 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(128, 3, 32, 32)     | Memory: 72.0 M | <class 'torch.Tensor'> | torch.float32
- | 47 * Size:(128, 512)           | Memory: 11.75 M | <class 'torch.Tensor'> | torch.float32
- | 188 * Size:(128, 128, 16, 16)   | Memory: 3008.0 M | <class 'torch.Tensor'> | torch.float32
- | 235 * Size:(128, 64, 32, 32)    | Memory: 7520.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:13109.5Mb Total Allocated Memory:13123.2Mb

+ | 196 * Size:(128, 128, 16, 16)   | Memory: 3136.0 M | <class 'torch.Tensor'> | torch.float32
+ | 50 * Size:(128, 3, 32, 32)     | Memory: 75.0 M | <class 'torch.Tensor'> | torch.float32
+ | 49 * Size:(128, 512, 1, 1)     | Memory: 12.25 M | <class 'torch.Tensor'> | torch.float32
+ | 245 * Size:(128, 64, 32, 32)    | Memory: 7840.0 M | <class 'torch.Tensor'> | torch.float32
+ | 49 * Size:(128, 512)           | Memory: 12.25 M | <class 'torch.Tensor'> | torch.float32
+ | 196 * Size:(128, 256, 8, 8)     | Memory: 1568.0 M | <class 'torch.Tensor'> | torch.float32
+ | 147 * Size:(128, 512, 4, 4)     | Memory: 588.0 M | <class 'torch.Tensor'> | torch.float32
- | 49 * Size:(128, 3, 32, 32)     | Memory: 73.5 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(128, 512)           | Memory: 12.0 M | <class 'torch.Tensor'> | torch.float32
- | 192 * Size:(128, 256, 8, 8)     | Memory: 1536.0 M | <class 'torch.Tensor'> | torch.float32
- | 144 * Size:(128, 512, 4, 4)     | Memory: 576.0 M | <class 'torch.Tensor'> | torch.float32
- | 240 * Size:(128, 64, 32, 32)    | Memory: 7680.0 M | <class 'torch.Tensor'> | torch.float32
- | 192 * Size:(128, 128, 16, 16)   | Memory: 3072.0 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(128, 512, 1, 1)     | Memory: 12.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:13379.5Mb Total Allocated Memory:13393.5Mb

+ | 200 * Size:(128, 256, 8, 8)     | Memory: 1600.0 M | <class 'torch.Tensor'> | torch.float32
+ | 50 * Size:(128, 512)           | Memory: 12.5 M | <class 'torch.Tensor'> | torch.float32
+ | 50 * Size:(128, 512, 1, 1)     | Memory: 12.5 M | <class 'torch.Tensor'> | torch.float32
+ | 250 * Size:(128, 64, 32, 32)    | Memory: 8000.0 M | <class 'torch.Tensor'> | torch.float32
+ | 200 * Size:(128, 128, 16, 16)   | Memory: 3200.0 M | <class 'torch.Tensor'> | torch.float32
+ | 51 * Size:(128, 3, 32, 32)     | Memory: 76.5 M | <class 'torch.Tensor'> | torch.float32
+ | 150 * Size:(128, 512, 4, 4)     | Memory: 600.0 M | <class 'torch.Tensor'> | torch.float32
- | 196 * Size:(128, 128, 16, 16)   | Memory: 3136.0 M | <class 'torch.Tensor'> | torch.float32
- | 50 * Size:(128, 3, 32, 32)     | Memory: 75.0 M | <class 'torch.Tensor'> | torch.float32
- | 49 * Size:(128, 512, 1, 1)     | Memory: 12.25 M | <class 'torch.Tensor'> | torch.float32
- | 245 * Size:(128, 64, 32, 32)    | Memory: 7840.0 M | <class 'torch.Tensor'> | torch.float32
- | 49 * Size:(128, 512)           | Memory: 12.25 M | <class 'torch.Tensor'> | torch.float32
- | 196 * Size:(128, 256, 8, 8)     | Memory: 1568.0 M | <class 'torch.Tensor'> | torch.float32
- | 147 * Size:(128, 512, 4, 4)     | Memory: 588.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:13649.5Mb Total Allocated Memory:13663.7Mb

+ | 52 * Size:(128, 3, 32, 32)     | Memory: 78.0 M | <class 'torch.Tensor'> | torch.float32
+ | 51 * Size:(128, 512, 1, 1)     | Memory: 12.75 M | <class 'torch.Tensor'> | torch.float32
+ | 204 * Size:(128, 128, 16, 16)   | Memory: 3264.0 M | <class 'torch.Tensor'> | torch.float32
+ | 153 * Size:(128, 512, 4, 4)     | Memory: 612.0 M | <class 'torch.Tensor'> | torch.float32
+ | 204 * Size:(128, 256, 8, 8)     | Memory: 1632.0 M | <class 'torch.Tensor'> | torch.float32
+ | 51 * Size:(128, 512)           | Memory: 12.75 M | <class 'torch.Tensor'> | torch.float32
+ | 255 * Size:(128, 64, 32, 32)    | Memory: 8160.0 M | <class 'torch.Tensor'> | torch.float32
- | 200 * Size:(128, 256, 8, 8)     | Memory: 1600.0 M | <class 'torch.Tensor'> | torch.float32
- | 50 * Size:(128, 512)           | Memory: 12.5 M | <class 'torch.Tensor'> | torch.float32
- | 50 * Size:(128, 512, 1, 1)     | Memory: 12.5 M | <class 'torch.Tensor'> | torch.float32
- | 250 * Size:(128, 64, 32, 32)    | Memory: 8000.0 M | <class 'torch.Tensor'> | torch.float32
- | 200 * Size:(128, 128, 16, 16)   | Memory: 3200.0 M | <class 'torch.Tensor'> | torch.float32
- | 51 * Size:(128, 3, 32, 32)     | Memory: 76.5 M | <class 'torch.Tensor'> | torch.float32
- | 150 * Size:(128, 512, 4, 4)     | Memory: 600.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:13919.5Mb Total Allocated Memory:13934.0Mb

+ | 208 * Size:(128, 128, 16, 16)   | Memory: 3328.0 M | <class 'torch.Tensor'> | torch.float32
+ | 52 * Size:(128, 512, 1, 1)     | Memory: 13.0 M | <class 'torch.Tensor'> | torch.float32
+ | 156 * Size:(128, 512, 4, 4)     | Memory: 624.0 M | <class 'torch.Tensor'> | torch.float32
+ | 52 * Size:(128, 512)           | Memory: 13.0 M | <class 'torch.Tensor'> | torch.float32
+ | 260 * Size:(128, 64, 32, 32)    | Memory: 8320.0 M | <class 'torch.Tensor'> | torch.float32
+ | 53 * Size:(128, 3, 32, 32)     | Memory: 79.5 M | <class 'torch.Tensor'> | torch.float32
+ | 208 * Size:(128, 256, 8, 8)     | Memory: 1664.0 M | <class 'torch.Tensor'> | torch.float32
- | 52 * Size:(128, 3, 32, 32)     | Memory: 78.0 M | <class 'torch.Tensor'> | torch.float32
- | 51 * Size:(128, 512, 1, 1)     | Memory: 12.75 M | <class 'torch.Tensor'> | torch.float32
- | 204 * Size:(128, 128, 16, 16)   | Memory: 3264.0 M | <class 'torch.Tensor'> | torch.float32
- | 153 * Size:(128, 512, 4, 4)     | Memory: 612.0 M | <class 'torch.Tensor'> | torch.float32
- | 204 * Size:(128, 256, 8, 8)     | Memory: 1632.0 M | <class 'torch.Tensor'> | torch.float32
- | 51 * Size:(128, 512)           | Memory: 12.75 M | <class 'torch.Tensor'> | torch.float32
- | 255 * Size:(128, 64, 32, 32)    | Memory: 8160.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:14189.5Mb Total Allocated Memory:14204.2Mb

+ | 53 * Size:(128, 512, 1, 1)     | Memory: 13.25 M | <class 'torch.Tensor'> | torch.float32
+ | 265 * Size:(128, 64, 32, 32)    | Memory: 8480.0 M | <class 'torch.Tensor'> | torch.float32
+ | 53 * Size:(128, 512)           | Memory: 13.25 M | <class 'torch.Tensor'> | torch.float32
+ | 212 * Size:(128, 256, 8, 8)     | Memory: 1696.0 M | <class 'torch.Tensor'> | torch.float32
+ | 212 * Size:(128, 128, 16, 16)   | Memory: 3392.0 M | <class 'torch.Tensor'> | torch.float32
+ | 159 * Size:(128, 512, 4, 4)     | Memory: 636.0 M | <class 'torch.Tensor'> | torch.float32
+ | 54 * Size:(128, 3, 32, 32)     | Memory: 81.0 M | <class 'torch.Tensor'> | torch.float32
- | 208 * Size:(128, 128, 16, 16)   | Memory: 3328.0 M | <class 'torch.Tensor'> | torch.float32
- | 52 * Size:(128, 512, 1, 1)     | Memory: 13.0 M | <class 'torch.Tensor'> | torch.float32
- | 156 * Size:(128, 512, 4, 4)     | Memory: 624.0 M | <class 'torch.Tensor'> | torch.float32
- | 52 * Size:(128, 512)           | Memory: 13.0 M | <class 'torch.Tensor'> | torch.float32
- | 260 * Size:(128, 64, 32, 32)    | Memory: 8320.0 M | <class 'torch.Tensor'> | torch.float32
- | 53 * Size:(128, 3, 32, 32)     | Memory: 79.5 M | <class 'torch.Tensor'> | torch.float32
- | 208 * Size:(128, 256, 8, 8)     | Memory: 1664.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:14459.5Mb Total Allocated Memory:14474.5Mb

+ | 54 * Size:(128, 512, 1, 1)     | Memory: 13.5 M | <class 'torch.Tensor'> | torch.float32
+ | 54 * Size:(128, 512)           | Memory: 13.5 M | <class 'torch.Tensor'> | torch.float32
+ | 216 * Size:(128, 128, 16, 16)   | Memory: 3456.0 M | <class 'torch.Tensor'> | torch.float32
+ | 55 * Size:(128, 3, 32, 32)     | Memory: 82.5 M | <class 'torch.Tensor'> | torch.float32
+ | 270 * Size:(128, 64, 32, 32)    | Memory: 8640.0 M | <class 'torch.Tensor'> | torch.float32
+ | 216 * Size:(128, 256, 8, 8)     | Memory: 1728.0 M | <class 'torch.Tensor'> | torch.float32
+ | 162 * Size:(128, 512, 4, 4)     | Memory: 648.0 M | <class 'torch.Tensor'> | torch.float32
- | 53 * Size:(128, 512, 1, 1)     | Memory: 13.25 M | <class 'torch.Tensor'> | torch.float32
- | 265 * Size:(128, 64, 32, 32)    | Memory: 8480.0 M | <class 'torch.Tensor'> | torch.float32
- | 53 * Size:(128, 512)           | Memory: 13.25 M | <class 'torch.Tensor'> | torch.float32
- | 212 * Size:(128, 256, 8, 8)     | Memory: 1696.0 M | <class 'torch.Tensor'> | torch.float32
- | 212 * Size:(128, 128, 16, 16)   | Memory: 3392.0 M | <class 'torch.Tensor'> | torch.float32
- | 159 * Size:(128, 512, 4, 4)     | Memory: 636.0 M | <class 'torch.Tensor'> | torch.float32
- | 54 * Size:(128, 3, 32, 32)     | Memory: 81.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:14729.5Mb Total Allocated Memory:14744.7Mb

+ | 220 * Size:(128, 256, 8, 8)     | Memory: 1760.0 M | <class 'torch.Tensor'> | torch.float32
+ | 275 * Size:(128, 64, 32, 32)    | Memory: 8800.0 M | <class 'torch.Tensor'> | torch.float32
+ | 165 * Size:(128, 512, 4, 4)     | Memory: 660.0 M | <class 'torch.Tensor'> | torch.float32
+ | 56 * Size:(128, 3, 32, 32)     | Memory: 84.0 M | <class 'torch.Tensor'> | torch.float32
+ | 220 * Size:(128, 128, 16, 16)   | Memory: 3520.0 M | <class 'torch.Tensor'> | torch.float32
+ | 55 * Size:(128, 512, 1, 1)     | Memory: 13.75 M | <class 'torch.Tensor'> | torch.float32
+ | 55 * Size:(128, 512)           | Memory: 13.75 M | <class 'torch.Tensor'> | torch.float32
- | 54 * Size:(128, 512, 1, 1)     | Memory: 13.5 M | <class 'torch.Tensor'> | torch.float32
- | 54 * Size:(128, 512)           | Memory: 13.5 M | <class 'torch.Tensor'> | torch.float32
- | 216 * Size:(128, 128, 16, 16)   | Memory: 3456.0 M | <class 'torch.Tensor'> | torch.float32
- | 55 * Size:(128, 3, 32, 32)     | Memory: 82.5 M | <class 'torch.Tensor'> | torch.float32
- | 270 * Size:(128, 64, 32, 32)    | Memory: 8640.0 M | <class 'torch.Tensor'> | torch.float32
- | 216 * Size:(128, 256, 8, 8)     | Memory: 1728.0 M | <class 'torch.Tensor'> | torch.float32
- | 162 * Size:(128, 512, 4, 4)     | Memory: 648.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:14999.5Mb Total Allocated Memory:15015.0Mb

+ | 168 * Size:(128, 512, 4, 4)     | Memory: 672.0 M | <class 'torch.Tensor'> | torch.float32
+ | 57 * Size:(128, 3, 32, 32)     | Memory: 85.5 M | <class 'torch.Tensor'> | torch.float32
+ | 56 * Size:(128, 512)           | Memory: 14.0 M | <class 'torch.Tensor'> | torch.float32
+ | 224 * Size:(128, 256, 8, 8)     | Memory: 1792.0 M | <class 'torch.Tensor'> | torch.float32
+ | 56 * Size:(128, 512, 1, 1)     | Memory: 14.0 M | <class 'torch.Tensor'> | torch.float32
+ | 224 * Size:(128, 128, 16, 16)   | Memory: 3584.0 M | <class 'torch.Tensor'> | torch.float32
+ | 280 * Size:(128, 64, 32, 32)    | Memory: 8960.0 M | <class 'torch.Tensor'> | torch.float32
- | 220 * Size:(128, 256, 8, 8)     | Memory: 1760.0 M | <class 'torch.Tensor'> | torch.float32
- | 275 * Size:(128, 64, 32, 32)    | Memory: 8800.0 M | <class 'torch.Tensor'> | torch.float32
- | 165 * Size:(128, 512, 4, 4)     | Memory: 660.0 M | <class 'torch.Tensor'> | torch.float32
- | 56 * Size:(128, 3, 32, 32)     | Memory: 84.0 M | <class 'torch.Tensor'> | torch.float32
- | 220 * Size:(128, 128, 16, 16)   | Memory: 3520.0 M | <class 'torch.Tensor'> | torch.float32
- | 55 * Size:(128, 512, 1, 1)     | Memory: 13.75 M | <class 'torch.Tensor'> | torch.float32
- | 55 * Size:(128, 512)           | Memory: 13.75 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:15269.5Mb Total Allocated Memory:15285.2Mb

+ | 57 * Size:(128, 512)           | Memory: 14.25 M | <class 'torch.Tensor'> | torch.float32
+ | 228 * Size:(128, 128, 16, 16)   | Memory: 3648.0 M | <class 'torch.Tensor'> | torch.float32
+ | 57 * Size:(128, 512, 1, 1)     | Memory: 14.25 M | <class 'torch.Tensor'> | torch.float32
+ | 58 * Size:(128, 3, 32, 32)     | Memory: 87.0 M | <class 'torch.Tensor'> | torch.float32
+ | 171 * Size:(128, 512, 4, 4)     | Memory: 684.0 M | <class 'torch.Tensor'> | torch.float32
+ | 228 * Size:(128, 256, 8, 8)     | Memory: 1824.0 M | <class 'torch.Tensor'> | torch.float32
+ | 285 * Size:(128, 64, 32, 32)    | Memory: 9120.0 M | <class 'torch.Tensor'> | torch.float32
- | 168 * Size:(128, 512, 4, 4)     | Memory: 672.0 M | <class 'torch.Tensor'> | torch.float32
- | 57 * Size:(128, 3, 32, 32)     | Memory: 85.5 M | <class 'torch.Tensor'> | torch.float32
- | 56 * Size:(128, 512)           | Memory: 14.0 M | <class 'torch.Tensor'> | torch.float32
- | 224 * Size:(128, 256, 8, 8)     | Memory: 1792.0 M | <class 'torch.Tensor'> | torch.float32
- | 56 * Size:(128, 512, 1, 1)     | Memory: 14.0 M | <class 'torch.Tensor'> | torch.float32
- | 224 * Size:(128, 128, 16, 16)   | Memory: 3584.0 M | <class 'torch.Tensor'> | torch.float32
- | 280 * Size:(128, 64, 32, 32)    | Memory: 8960.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:15539.5Mb Total Allocated Memory:15555.5Mb

+ | 232 * Size:(128, 256, 8, 8)     | Memory: 1856.0 M | <class 'torch.Tensor'> | torch.float32
+ | 59 * Size:(128, 3, 32, 32)     | Memory: 88.5 M | <class 'torch.Tensor'> | torch.float32
+ | 58 * Size:(128, 512)           | Memory: 14.5 M | <class 'torch.Tensor'> | torch.float32
+ | 58 * Size:(128, 512, 1, 1)     | Memory: 14.5 M | <class 'torch.Tensor'> | torch.float32
+ | 174 * Size:(128, 512, 4, 4)     | Memory: 696.0 M | <class 'torch.Tensor'> | torch.float32
+ | 232 * Size:(128, 128, 16, 16)   | Memory: 3712.0 M | <class 'torch.Tensor'> | torch.float32
+ | 290 * Size:(128, 64, 32, 32)    | Memory: 9280.0 M | <class 'torch.Tensor'> | torch.float32
- | 57 * Size:(128, 512)           | Memory: 14.25 M | <class 'torch.Tensor'> | torch.float32
- | 228 * Size:(128, 128, 16, 16)   | Memory: 3648.0 M | <class 'torch.Tensor'> | torch.float32
- | 57 * Size:(128, 512, 1, 1)     | Memory: 14.25 M | <class 'torch.Tensor'> | torch.float32
- | 58 * Size:(128, 3, 32, 32)     | Memory: 87.0 M | <class 'torch.Tensor'> | torch.float32
- | 171 * Size:(128, 512, 4, 4)     | Memory: 684.0 M | <class 'torch.Tensor'> | torch.float32
- | 228 * Size:(128, 256, 8, 8)     | Memory: 1824.0 M | <class 'torch.Tensor'> | torch.float32
- | 285 * Size:(128, 64, 32, 32)    | Memory: 9120.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:15809.5Mb Total Allocated Memory:15825.7Mb

+ | 295 * Size:(128, 64, 32, 32)    | Memory: 9440.0 M | <class 'torch.Tensor'> | torch.float32
+ | 177 * Size:(128, 512, 4, 4)     | Memory: 708.0 M | <class 'torch.Tensor'> | torch.float32
+ | 236 * Size:(128, 128, 16, 16)   | Memory: 3776.0 M | <class 'torch.Tensor'> | torch.float32
+ | 60 * Size:(128, 3, 32, 32)     | Memory: 90.0 M | <class 'torch.Tensor'> | torch.float32
+ | 236 * Size:(128, 256, 8, 8)     | Memory: 1888.0 M | <class 'torch.Tensor'> | torch.float32
+ | 59 * Size:(128, 512)           | Memory: 14.75 M | <class 'torch.Tensor'> | torch.float32
+ | 59 * Size:(128, 512, 1, 1)     | Memory: 14.75 M | <class 'torch.Tensor'> | torch.float32
- | 232 * Size:(128, 256, 8, 8)     | Memory: 1856.0 M | <class 'torch.Tensor'> | torch.float32
- | 59 * Size:(128, 3, 32, 32)     | Memory: 88.5 M | <class 'torch.Tensor'> | torch.float32
- | 58 * Size:(128, 512)           | Memory: 14.5 M | <class 'torch.Tensor'> | torch.float32
- | 58 * Size:(128, 512, 1, 1)     | Memory: 14.5 M | <class 'torch.Tensor'> | torch.float32
- | 174 * Size:(128, 512, 4, 4)     | Memory: 696.0 M | <class 'torch.Tensor'> | torch.float32
- | 232 * Size:(128, 128, 16, 16)   | Memory: 3712.0 M | <class 'torch.Tensor'> | torch.float32
- | 290 * Size:(128, 64, 32, 32)    | Memory: 9280.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:16079.5Mb Total Allocated Memory:16096.0Mb

+ | 61 * Size:(128, 3, 32, 32)     | Memory: 91.5 M | <class 'torch.Tensor'> | torch.float32
+ | 180 * Size:(128, 512, 4, 4)     | Memory: 720.0 M | <class 'torch.Tensor'> | torch.float32
+ | 60 * Size:(128, 512, 1, 1)     | Memory: 15.0 M | <class 'torch.Tensor'> | torch.float32
+ | 240 * Size:(128, 128, 16, 16)   | Memory: 3840.0 M | <class 'torch.Tensor'> | torch.float32
+ | 60 * Size:(128, 512)           | Memory: 15.0 M | <class 'torch.Tensor'> | torch.float32
+ | 300 * Size:(128, 64, 32, 32)    | Memory: 9600.0 M | <class 'torch.Tensor'> | torch.float32
+ | 240 * Size:(128, 256, 8, 8)     | Memory: 1920.0 M | <class 'torch.Tensor'> | torch.float32
- | 295 * Size:(128, 64, 32, 32)    | Memory: 9440.0 M | <class 'torch.Tensor'> | torch.float32
- | 177 * Size:(128, 512, 4, 4)     | Memory: 708.0 M | <class 'torch.Tensor'> | torch.float32
- | 236 * Size:(128, 128, 16, 16)   | Memory: 3776.0 M | <class 'torch.Tensor'> | torch.float32
- | 60 * Size:(128, 3, 32, 32)     | Memory: 90.0 M | <class 'torch.Tensor'> | torch.float32
- | 236 * Size:(128, 256, 8, 8)     | Memory: 1888.0 M | <class 'torch.Tensor'> | torch.float32
- | 59 * Size:(128, 512)           | Memory: 14.75 M | <class 'torch.Tensor'> | torch.float32
- | 59 * Size:(128, 512, 1, 1)     | Memory: 14.75 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:16349.5Mb Total Allocated Memory:16366.2Mb

+ | 62 * Size:(128, 3, 32, 32)     | Memory: 93.0 M | <class 'torch.Tensor'> | torch.float32
+ | 305 * Size:(128, 64, 32, 32)    | Memory: 9760.0 M | <class 'torch.Tensor'> | torch.float32
+ | 244 * Size:(128, 256, 8, 8)     | Memory: 1952.0 M | <class 'torch.Tensor'> | torch.float32
+ | 61 * Size:(128, 512)           | Memory: 15.25 M | <class 'torch.Tensor'> | torch.float32
+ | 244 * Size:(128, 128, 16, 16)   | Memory: 3904.0 M | <class 'torch.Tensor'> | torch.float32
+ | 183 * Size:(128, 512, 4, 4)     | Memory: 732.0 M | <class 'torch.Tensor'> | torch.float32
+ | 61 * Size:(128, 512, 1, 1)     | Memory: 15.25 M | <class 'torch.Tensor'> | torch.float32
- | 61 * Size:(128, 3, 32, 32)     | Memory: 91.5 M | <class 'torch.Tensor'> | torch.float32
- | 180 * Size:(128, 512, 4, 4)     | Memory: 720.0 M | <class 'torch.Tensor'> | torch.float32
- | 60 * Size:(128, 512, 1, 1)     | Memory: 15.0 M | <class 'torch.Tensor'> | torch.float32
- | 240 * Size:(128, 128, 16, 16)   | Memory: 3840.0 M | <class 'torch.Tensor'> | torch.float32
- | 60 * Size:(128, 512)           | Memory: 15.0 M | <class 'torch.Tensor'> | torch.float32
- | 300 * Size:(128, 64, 32, 32)    | Memory: 9600.0 M | <class 'torch.Tensor'> | torch.float32
- | 240 * Size:(128, 256, 8, 8)     | Memory: 1920.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:16619.5Mb Total Allocated Memory:16636.5Mb

+ | 248 * Size:(128, 128, 16, 16)   | Memory: 3968.0 M | <class 'torch.Tensor'> | torch.float32
+ | 62 * Size:(128, 512)           | Memory: 15.5 M | <class 'torch.Tensor'> | torch.float32
+ | 186 * Size:(128, 512, 4, 4)     | Memory: 744.0 M | <class 'torch.Tensor'> | torch.float32
